City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,tamanrasset,22.785,5.5228,308.1,9,94,9.26,DZ,1720634793
369,saldanha,-33.0117,17.9442,287.18,91,100,12.0,ZA,1720634794
370,san agustin de valle fertil,-30.6335,-67.4682,280.63,45,63,2.86,AR,1720634795
371,suez,29.9737,32.5263,306.9,27,0,4.27,EG,1720634796
372,evinayong,1.4368,10.5512,293.79,96,100,1.14,GQ,1720634798
373,wadebridge,50.5173,-4.8363,290.99,82,0,5.66,GB,1720634799
374,prince rupert,54.3161,-130.3201,287.2,92,100,2.06,CA,1720634599
375,vyaz'ma,55.2104,34.2951,290.15,80,4,3.25,RU,1720634801
376,sal'sk,46.4725,41.5428,301.56,26,100,4.0,RU,1720634802
377,vallenar,-28.5708,-70.7581,285.98,58,30,2.83,CL,1720634803
378,beytussebap,37.5694,43.1681,292.7,40,30,0.38,TR,1720634804
379,palu,-0.8917,119.8707,297.4,99,100,1.42,ID,1720634806
380,skowhegan,44.7651,-69.7192,304.47,71,93,2.33,US,1720634808
381,portel,-1.9356,-50.8211,304.91,51,16,2.1,BR,1720634809
382,belmonte,-15.8631,-38.8828,298.84,69,77,3.28,BR,1720634810
383,princeville,45.7668,-61.2985,302.95,69,74,4.57,CA,1720634811
384,kiunga,-6.1219,141.2906,295.21,99,100,1.45,PG,1720634812
385,ceerigaabo,10.6162,47.368,293.45,63,95,7.87,SO,1720634813
386,bodaybo,57.8506,114.1933,292.64,94,97,0.49,RU,1720634814
387,la paz,-16.5,-68.15,288.47,15,0,9.26,BO,1720634113
388,urengoy,65.9667,78.3667,290.7,59,69,4.04,RU,1720634817
389,darnah,32.767,22.6367,300.54,68,0,9.56,LY,1720634818
390,playa del ingles,27.7567,-15.5787,300.01,50,0,1.8,ES,1720634819
391,mayya,61.7333,130.2811,287.77,98,100,1.49,RU,1720634820
392,bikenibeu village,1.3673,173.1241,301.13,83,40,2.57,KI,1720634821
393,el nido,11.1858,119.3956,300.41,82,99,3.43,PH,1720634822
394,greymouth,-42.4667,171.2,276.67,88,73,2.43,NZ,1720634823
395,ghat,24.9647,10.1728,311.73,10,10,8.2,LY,1720634825
396,guozhen,34.3659,107.359,292.36,82,65,1.62,CN,1720634826
397,haiku-pauwela,20.9219,-156.3051,298.17,87,40,4.63,US,1720634827
398,tuburan,6.6439,122.2736,298.98,83,99,2.14,PH,1720634828
399,aykhal,66.0,111.5,289.15,71,72,1.75,RU,1720634829
400,danshui,22.7984,114.4672,300.74,82,65,0.31,CN,1720634777
401,carsamba,41.1989,36.7219,298.01,83,40,2.06,TR,1720634831
402,saint-pierre,-21.3393,55.4781,293.97,78,100,4.12,RE,1720634753
403,antalaha,-14.9003,50.2788,295.84,71,60,5.43,MG,1720634833
404,leava,-14.3,-178.1667,299.23,81,100,14.27,WF,1720634835
405,jiaojiang,28.6803,121.4428,297.87,97,90,1.13,CN,1720634538
406,soro,21.2881,86.6858,302.43,74,100,4.5,IN,1720634837
407,sola,-13.8833,167.55,299.06,80,100,9.86,VU,1720634840
408,karachi,24.9056,67.0822,304.05,74,75,4.12,PK,1720634736
409,kerema,-7.9631,145.7785,298.03,89,99,5.41,PG,1720634843
410,salekhard,66.53,66.6019,294.43,60,57,4.01,RU,1720634844
